ntwk,state,site_name,site_no,start,lat,lon,elev,county,huc
SNTL,CO,APISHAPA,303,1979-October,37.33,-105.07,10000,Huerfano,Middle Creek-Cucharas River (110200060406)
SNTL,CO,ARAPAHO RIDGE,1030,2002-August,40.35,-106.35,10960,Grand,Rabbit Ears Creek-Troublesome Creek (140100010604)
SNTL,CO,BEAR LAKE,322,1979-October,40.31,-105.65,9500,Larimer,Glacier Creek (101900060201)
SNTL,CO,BEAR RIVER,1061,2004-October,40.06,-107.01,9080,Routt,Yamcolo Reservoir-Bear River (140500010102)
SNTL,CO,BEARTOWN,327,1979-October,37.71,-107.51,11600,Mineral,Bear Creek-Rio Grande (130100010104)
SNTL,CO,BEAVER CK VILLAGE,1041,2002-November,39.6,-106.51,8500,Eagle,Beaver Creek-Eagle Creek (140100030301)
SNTL,CO,BERTHOUD SUMMIT,335,1963-September,39.8,-105.78,11300,Grand,Upper Fraser River (140100010202)
SNTL,CO,BISON LAKE,345,1985-September,39.76,-107.36,10880,Garfield,Headwaters Deep Creek (140100011401)
SNTL,CO,BLACK MESA,1185,2011-July,37.79,-108.18,11580,Dolores,Fish Creek (140300020103)
SNTL,CO,BLACK MOUNTAIN,1161,2010-October,40.89,-105.66,8920,Larimer,Upper Dale Creek (101900070501)
SNTL,CO,BRUMLEY,369,1979-October,39.09,-106.54,10600,Lake,North Fork Lake Creek (110200010101)
SNTL,CO,BUCKSKIN JOE,938,1998-August,39.3,-106.11,11150,Park,Headwaters Middle Fork South Platte River (101900010102)
SNTL,CO,BUFFALO PARK,913,1995-September,40.23,-106.6,9240,Grand,Red Dirt Creek (140100010706)
SNTL,CO,BURRO MOUNTAIN,378,1978-October,39.88,-107.6,9400,Rio Blanco,North Elk Creek (140500050302)
SNTL,CO,BUTTE,380,1979-October,38.89,-106.95,10160,Gunnison,Washington Gulch-Slate River (140200010206)
SNTL,CO,CASCADE #2,387,1990-September,37.66,-107.8,8920,San Juan,Headwaters Cascade Creek (140801040201)
SNTL,CO,CASCADE,386,1978-October,37.65,-107.81,8880,San Juan,Headwaters Cascade Creek (140801040201)
SNTL,CO,CHAPMAN TUNNEL,1101,2007-September,39.26,-106.63,10110,Pitkin,Deeds Creek-Fryingpan River (140100040504)
